Fuel_consumption,Throttle_position_signal,Intake_air_pressure,Engine_speed,Flywheel_torque_(after_torque_interventions),Calculated_LOAD_value,Torque_converter_speed,Torque_converter_turbine_speed_-_Unfiltered,Steering_wheel_angle,Transmission_oil_temperature
1036.8,10.4,58,1716,-19,49.4,1723.8,1724.3,6.2,89
358.4,6.1,25,1644,0.8,16.1,1690.5,1690.5,3.4,89
921.6,13.2,57,1692,54.9,45.9,1675.5,1676.3,3.9,89
742.4,8,47,1666,-2.9,36.9,1693.5,1694,4.8,89
704,9.4,45,1692,-14.2,34.9,1684.3,1684.5,5.8,89
268.8,5.7,23,1580,-40.7,14.1,1632.5,1632,5.5,89
396.8,10.4,41,1583,45.4,29.4,1573.8,1574,6.5,89
870.4,8.9,54,1586,-20.4,42.7,1578,1578.5,6.7,89
281.6,6.1,26,1491,5.1,16.9,1538.5,1538.3,7.3,89
1062.4,16,71,1573,67.9,59.2,1539,1540,3.7,89
806.4,8.9,55,1550,-2.8,43.9,1564,1564.5,0.9,89
1126.4,16.9,72,1629,70,60,1575.5,1576.5,2.7,89
1433.6,18.3,86,1645,16.8,75.3,1639.3,1640.3,2.1,89
742.4,10.4,48,1672,53.5,37.6,1656.3,1656.8,-0.8,89
1356.8,16.9,81,1726,23.8,70.2,1693,1694,-1.6,89
908.8,11.8,52,1819,51.7,42.7,1728.3,1729,0.8,89
1344,14.1,69,1906,4,56.9,1776,1776.8,-1.6,89
947.2,13.2,55,1901,55.7,42.4,1802.3,1803.3,0.8,89
1459.2,16,74,1971,33.7,59.6,1857.3,1858.3,4.3,89
614.4,8,35,1845,23.9,25.5,1878.3,1878.8,3.4,89
1356.8,16,70,1932,61.4,57.3,1889,1890,3.7,89
691.2,7.1,36,1897,-20.4,27.5,1908.3,1908.8,1.5,89
972.8,14.1,52,1924,61.5,40.4,1895.5,1896.3,2.6,89
1561.6,19.3,81,1958,76.2,67.5,1948.8,1950,-0.6,89
1907.2,24,89,2041,82.9,75.7,2039.3,2040.8,-0.9,89
2073.6,27.3,91,2141,82.7,80.8,2139.3,2140.8,3.1,89
2252.8,28.7,93,2246,84.7,82.4,2244.3,2246,2.2,89
2227.2,24.9,87,2350,61,76.9,2348,2349.5,0.1,89
1075.2,10.8,52,2152,13.3,36.5,2132.8,2130.8,0.9,89
422.4,5.7,29,1687,-32.2,20,1702.3,1702.5,3,89
64,7.1,28,1651,-38.4,18.8,1651.3,1651,3.9,89
0,7.1,32,1583,-38.7,22.4,1584,1583.8,2.2,89
0,7.1,32,1515,-38.5,22,1524.8,1525,-2.9,89
179.2,7.5,33,1464,21.2,23.1,1474.8,1475.3,-3.2,89
1139.2,14.6,71,1512,65.9,59.6,1463.3,1463.8,3.7,89
844.8,8,57,1464,-21.7,45.9,1467.5,1467.8,1.8,89
307.2,5.7,27,1363,-12.8,18,1433,1433,0.9,89
691.2,11.8,48,1461,61.8,37.6,1403.5,1403.8,-1.3,89
1318.4,17.4,84,1535,70.4,71.8,1420.3,1421,1.1,89
1331.2,20.2,89,1477,78.2,79.6,1454,1454.8,2.3,89
1510.4,22.6,93,1492,81.3,84.7,1487.5,1488.5,1.7,89
1433.6,21.1,90,1530,77,80,1529.3,1530,0.9,89
1574.4,33.4,96,1571,88.2,87.8,1569.3,1570.3,-1.9,89
1574.4,24.4,93,1609,76.6,84.7,1608.3,1609,4.8,89
1382.4,16.9,84,1644,39.5,73.7,1643.5,1644.3,2.7,89
883.2,12.2,61,1654,59.9,47.1,1653,1653.5,7.4,89
1216,15.5,77,1666,61.5,65.5,1665.3,1666,7.7,89
998.4,10.4,61,1671,-9.7,49.8,1673.5,1674,4.7,89
384,7.1,28,1609,22,18.8,1643,1643.3,2.9,89
1152,14.1,67,1655,45.5,55.7,1618,1618.3,0.8,89
524.8,5.7,38,1560,-30.8,27.8,1590.5,1590.5,4.1,89
76.8,6.1,26,1452,-40,17.3,1528.8,1528.5,-1.9,89
0,6.6,30,1437,-40.2,21.2,1452.5,1452.3,1.1,89
358.4,9.9,39,1408,59,29.4,1389.3,1389.3,3,89
1753.6,45.6,92,1691,87.7,82.7,1442.3,1448,0.1,89
1766.4,29.1,67,2135,-9.2,57.6,1948.3,1949,-4.1,89
358.4,5.7,21,1794,-29.5,14.1,1904,1903.5,0.2,89
499.2,8,28,1835,-17.2,19.6,1835.3,1835,4.5,89
870.4,12.7,47,1836,59.5,36.9,1798.8,1799.5,0.2,89
1139.2,10.4,54,1879,-20.8,43.9,1812.5,1813,4.8,89
243.2,6.1,23,1588,-42.5,14.5,1692.5,1690.3,3,89
0,6.1,31,1411,-42.7,22,1418,1416,1.7,89
294.4,6.6,36,971,-4.1,26.7,1155.5,1153.5,-1.2,89
422.4,7.5,47,960,12.3,37.6,1054.5,1052.5,-1.6,89
537.6,8,60,901,17.2,50.2,554.5,551.5,-0.5,89
486.4,7.5,64,826,15.3,52.9,344.3,341,-1.2,89
435.2,7.1,64,747,12.6,53.3,9.5,8.8,-1.2,89
371.2,6.6,64,675,15.6,52.9,0,0,-1,89
371.2,7.1,66,672,15.4,54.5,0,0,-0.8,89
358.4,6.6,65,675,13.4,54.5,0,0,-0.8,89
345.6,7.1,65,666,14.3,54.1,0,0,-1.2,89
371.2,7.1,66,672,13.6,54.9,0,0,-1.2,89
345.6,7.1,65,672,13.9,53.7,0,0,-0.8,89
345.6,7.1,65,673,12.1,54.1,0,0,-1.1,89
345.6,6.6,65,670,14.1,53.7,0,0,-1.1,89
345.6,6.6,65,668,14,54.1,0,0,-1.2,89
332.8,6.6,65,668,14,54.5,0,0,-1,89
332.8,7.1,65,667,14,54.5,0,0,-1.1,89
332.8,6.6,65,671,13.5,54.5,0,0,-0.8,89
345.6,6.6,66,664,13.1,54.9,0,0,-0.9,89
358.4,7.1,66,670,14.2,55.3,0,0,-0.8,89
345.6,6.6,65,671,13.5,54.1,0,0,-1.2,89
371.2,6.6,65,674,13.1,54.5,0,0,-1,89
358.4,6.6,66,667,12.3,54.9,0,0,-0.8,89
371.2,6.6,66,671,14.7,54.5,0,0,-0.8,89
371.2,6.6,65,670,12.1,54.1,0,0,-1.2,89
358.4,6.6,65,673,13.8,53.7,0,0,-0.8,89
371.2,7.1,65,670,13.4,54.1,0,0,-1.2,89
371.2,6.6,64,671,13,53.3,0,0,-1.2,89
371.2,6.6,65,673,12.7,54.1,0,0,-1.2,89
384,7.1,65,670,10.9,53.7,0,0,-0.8,89
371.2,6.6,65,670,11.8,53.7,0,0,-1.1,89
371.2,6.6,64,672,14.7,53.3,0,0,-1.2,89
384,6.6,65,671,12.6,54.5,0,0,-1.2,89
371.2,7.1,65,670,10.4,54.1,0,0,-0.8,89
384,6.6,64,670,12.8,53.7,0,0,-0.8,89
371.2,6.6,64,673,12.9,53.7,0,0,-1.2,89
371.2,6.6,65,669,12.3,54.1,0,0,-0.9,89
384,6.6,65,669,11.4,54.1,0,0,-0.9,89
371.2,6.6,64,673,11.6,53.7,0,0,-0.8,89
371.2,6.6,65,668,10.9,53.7,0,0,-1,89
384,6.6,65,669,11.4,54.1,0,0,-0.8,89
358.4,6.6,64,670,10.6,53.3,0,0,-1.2,89
371.2,6.6,64,671,11.7,53.3,0,0,-0.9,89
371.2,6.6,65,669,11.7,54.1,0,0,-1.2,89
358.4,6.6,64,669,12.2,53.3,0,0,-1.2,89
371.2,6.6,64,669,11.4,53.7,0,0,-1.1,89
384,6.6,65,668,12.6,54.1,0,0,-1,89
358.4,6.6,65,669,11.5,54.1,0,0,-0.8,89
358.4,6.6,65,669,10.1,53.7,0,0,-0.8,89
371.2,6.6,65,669,8.8,53.7,0,0,-0.8,89
371.2,6.6,64,668,11.9,53.7,0,0,-0.8,89
358.4,6.6,65,674,10.9,53.7,0,0,-1.1,89
537.6,14.6,75,831,72.1,63.5,242.5,246.5,-0.8,89
1856,86.9,99,1730,79.8,92.2,994.3,1006,-1.2,89
2534.4,100,99,2279,87.8,92.2,2037.5,2047.5,1.9,89
3840,100,98,3236,102.2,88.2,3066.8,3078,0.1,89
4044.8,100,98,3313,99.1,87.8,3140.3,3133,0.1,89
4019.2,100,98,3237,117.3,94.1,3048.3,3054.3,-0.4,89
4236.8,100,98,3610,77.3,86.3,3445.3,3443,-0.8,89
3609.6,100,99,2881,96.1,91.8,2674.8,2672,0,90
2521.6,30.1,68,2765,-12.5,58.4,2633.8,2629,0.1,90
409.6,6.1,25,1712,-11.7,17.3,1984.8,1979.3,1.9,90
627.2,9.9,48,1380,1.2,37.3,1437.8,1436,1.9,90
601.6,9.4,53,1289,-1.9,41.6,1287.5,1286.5,4.1,90
448,7.1,49,1027,-7.6,38.8,1204.5,1207.3,-1.6,90
332.8,6.6,44,930,-5.1,34.9,1287,1285,-0.5,90
320,6.6,47,870,-2.9,37.6,1150,1151.3,-0.8,90
384,7.1,50,966,1.2,39.2,1153.8,1152.5,-1.6,90
409.6,8,49,1028,28.9,38.4,1051.3,1051.8,-1.5,90
1126.4,16.9,80,1511,68.8,68.6,1082,1083.3,-0.8,90
1625.6,23.5,91,1755,77.1,81.6,1238.3,1240.8,4.8,90
1587.2,20.7,89,1675,61.5,79.2,1415.3,1417.3,2.6,90
806.4,9.9,59,1540,25.3,44.7,1513,1514,-0.4,90
1100.8,16,76,1623,65.2,62.4,1570.5,1571.8,0.8,90
1356.8,16.9,81,1694,46.3,71,1689,1690.8,3,90
793.6,8.9,48,1751,-1.7,37.6,1753.3,1753.8,6.4,90
857.6,12.7,52,1833,48.1,40.8,1753.5,1754.3,7,90
857.6,10.8,48,1861,37.3,37.6,1780.3,1780.8,4.1,90
1241.6,15.5,70,1987,57.4,53.7,1823.5,1824.8,3,90
934.4,9.4,50,1934,-3.6,36.9,1878,1877,7.4,90
665.6,9.9,51,1480,-2.8,39.2,1459.8,1459.5,7.7,90
601.6,8.5,47,1432,-4,36.1,1407,1407.3,3.7,90
627.2,11.3,50,1451,67.3,39.6,1391.8,1392.5,9.3,90
1984,39.9,94,1984,84.4,84.7,1457.8,1458.8,8,90
2240,51.2,94,2074,82.5,85.5,1587.3,1588.3,8.4,90
2035.2,68.1,97,1898,90.5,90.2,1702.5,1703.5,3,90
2918.4,100,99,2472,98.5,95.3,2241.8,2244.5,-10.7,90
3302.4,68.6,93,2812,50.5,88.2,2584.3,2585.5,-0.5,90
896,8.9,35,2315,-3,25.1,2284,2278,6.5,90
716.8,9.9,38,1991,-2.1,28.2,1964.3,1963.3,7.6,90
627.2,8.5,39,1665,-14.3,29,1663,1659,-1.1,90
384,7.1,42,1071,-2.6,32.2,1198,1194.5,-1.6,91
384,7.1,47,971,4,37.3,1184.3,1185.8,0.7,91
460.8,7.1,49,1091,-1.2,38,1094.3,1094,1.6,91
396.8,7.1,46,1026,-0.7,35.7,1047.5,1047.8,0.1,91
371.2,7.1,47,970,3.2,37.3,997.5,997.3,0,91
409.6,7.5,52,923,14.9,42.4,860,858.3,5.9,91
448,8,62,860,15.9,51.8,609.8,608.3,-7.7,90
460.8,7.5,63,838,5.4,52.5,662,665.3,-1.9,90
358.4,7.1,56,798,9.9,46.3,753.3,752.8,-1.1,90
396.8,7.1,61,780,9.2,50.6,669.8,670.3,0.3,90
409.6,7.1,60,797,10.3,50.2,703,703.5,-3,90
396.8,7.1,61,768,13.3,50.6,643.5,642.8,0.5,90
409.6,7.5,65,768,15.5,54.1,436.8,434.5,0.8,90
435.2,7.1,66,759,13.6,55.3,239.3,238,0.1,90
371.2,6.6,65,686,15.6,53.7,60.5,61.5,0.2,90
345.6,7.1,65,675,14.9,54.5,0,0,0.1,90
371.2,7.1,65,674,14.3,54.5,0,0,0.1,90
358.4,7.1,65,676,13.2,54.1,0,0,0.4,90
358.4,7.1,65,670,12.7,53.7,0,0,0.2,90
345.6,6.6,64,674,12.4,53.7,0,0,0.2,90
345.6,6.6,65,669,12.3,54.1,0,0,0.4,90
345.6,6.6,65,667,13.1,53.7,0,0,0.4,90
332.8,6.6,65,673,13.8,54.1,0,0,0.1,90
332.8,7.1,65,670,10.6,54.5,0,0,0.5,90
345.6,6.6,65,671,11.4,54.5,0,0,0.1,90
345.6,6.6,65,670,10.4,54.5,0,0,0.1,90
358.4,6.6,66,667,10.5,54.5,0,0,0.3,90
358.4,6.6,65,670,12.6,54.1,0,0,0.1,90
358.4,6.6,66,669,13,54.5,0,0,0.1,90
358.4,6.6,65,669,12.2,54.5,0,0,0.4,90
358.4,6.6,65,671,12.8,54.1,0,0,0.2,90
358.4,6.6,66,669,12.9,54.9,0,0,0.1,90
371.2,6.6,65,669,12,54.5,0,0,0.1,90
371.2,6.6,65,666,12.7,54.1,0,0,0.1,90
371.2,6.6,65,672,12.2,54.5,6,6.5,0.1,90
371.2,6.6,65,680,12.6,54.5,70.5,72,0.1,90
396.8,7.1,64,727,26.2,53.3,240.8,243.3,0.2,90
870.4,13.2,78,1224,54.9,66.7,599.8,606.3,0,90
1152,14.6,76,1585,56.5,62.7,1278.3,1285,5.9,90
1612.8,18.8,79,2078,66.3,66.3,1896.5,1903.3,-0.5,90
1856,20.2,79,2237,69,66.3,2030,2025.5,-2.2,90
1804.8,20.7,83,2087,71.5,69.8,1873,1876.5,-11.3,90
1920,19.7,78,2310,59.6,66.7,2172.5,2175.8,-11.2,90
1164.8,11.3,52,2268,14.1,37.6,2211.3,2205.5,-1.9,91
1280,18.3,75,1796,73.1,62.7,1645,1646,-9.1,91
1804.8,24.4,91,1805,42.5,83.9,1770.8,1772.3,-7.8,91
1152,14.1,61,1934,65.7,49.8,1845.5,1846.5,-9.1,91
1344,13.6,62,2039,1.9,51,1912.8,1913.8,-2.3,91
1587.2,31.5,82,1853,80.8,70.2,1540.8,1537.3,-3,91
2304,96.7,99,2049,84.8,90.6,1554.8,1556,-0.8,91
2342.4,100,99,2092,80.3,91.4,1674.8,1679.3,-1.4,91
2931.2,100,99,2489,89,93.3,2267.3,2271.5,0.2,91
2521.6,43.7,78,2570,6.1,70.2,2394.3,2393.5,1.5,91
755.2,9.9,44,1957,-3.3,31.4,1922.8,1919.3,0.9,91
691.2,9.4,39,1839,-4.3,30.2,1838.8,1839,5.2,91
640,8.9,38,1765,-19,28.6,1800,1799.8,24.9,91
102.4,6.6,33,1513,-42.6,23.1,1679,1678.3,31.1,91
563.2,8.9,40,1616,16.8,29.4,1618,1618,37.6,91
716.8,9.4,48,1599,7.5,34.1,1601.3,1601.8,39.8,91
665.6,8.5,45,1600,-13.3,32.2,1582.5,1582.5,32.2,91
627.2,11.3,47,1509,69.5,35.3,1556.5,1557.3,21.5,91
2099.2,70,97,2035,87.9,89.4,1832.8,1839.5,8.5,91
3084.8,100,99,2581,97.6,96.1,2314,2316.8,-2.5,91
3468.8,100,99,2792,102,96.5,2544.5,2547.5,-5.9,91
3481.6,58.7,93,2996,75.9,85.1,2785.5,2787,-0.8,91
1651.2,14.6,63,2452,14.5,48.2,2321.8,2317,1.9,91
652.8,8.5,38,1901,9.6,26.3,1863.5,1857.8,1.6,91
588.8,9.9,44,1651,45.4,32.2,1596.5,1596.8,5.9,91
1600,28.2,86,1869,92.6,76.1,1604,1605.3,8.8,91
2816,95.3,99,2456,95.7,94.9,2202.3,2209.3,8.4,92
3225.6,100,99,2614,99.5,96.5,2350.5,2352,3.6,92
3328,100,99,2697,105,96.5,2436.3,2437.8,5.5,92
3417.6,100,98,2764,105,96.5,2503.3,2504.3,4.1,92
3468.8,93,98,2805,96.5,95.3,2553,2554,5.2,92
2585.6,23,80,2746,60,70.2,2579.5,2579.8,5.2,92
1817.6,17.4,67,2631,54.4,53.7,2555.3,2555.5,5.6,92
2432,26.8,85,2704,88,75.7,2534,2534.5,4.8,92
1510.4,14.6,58,2581,41.5,43.5,2493.3,2493,3.4,92
1868.8,22.1,74,2575,86.1,60.8,2437.3,2437.5,1.6,92
3174.4,84.1,98,2681,103.8,94.1,2441.8,2442.5,-0.8,92
3302.4,99.6,99,2711,97.4,96.1,2479.8,2480.5,-1.7,92
2700.8,34.3,82,2600,36,75.3,2506.3,2506.8,4.5,92
1152,13.2,51,2474,47.5,36.9,2459.3,2459,14.9,92
2150.4,24.9,83,2596,87.5,71,2416.5,2417.3,13.3,92
3072,76.5,98,2653,98,92.5,2426,2426.8,13.9,92
3315.2,84.1,97,2654,87.7,92.9,2460,2460.8,17.6,92
1932.8,16.9,68,2525,10.8,56.9,2472.8,2473.3,11.7,92
678.4,8,33,2391,-21.4,22,2411.5,2411.3,13.5,92
256,6.6,25,1921,-37.3,16.5,2319.3,2319,19.6,92
371.2,9.4,37,1759,45.2,26.7,2238.5,2239,19.6,92
2150.4,24,79,2455,96.8,67.5,2254,2254.8,12.6,92
2905.6,81.7,98,2479,90.5,93.3,2364,2365.5,19.5,92
3033.6,100,99,2543,95.6,95.7,2482.8,2484.5,24.6,92
3212.8,100,98,2622,95.6,96.1,2607.3,2609,9.4,92
2931.2,39.9,88,2734,71,81.2,2730.5,2732,8.6,92
1420.8,12.7,53,2764,1.4,38,2764.8,2763.5,10.3,92
588.8,8.5,33,2118,4.9,23.1,2109.5,2105,13.1,92
896,13.2,52,2019,56.3,38.8,1974.3,1975,17.1,92
1408,16.9,77,2002,67.3,60,1985.8,1986.5,16.4,92
1523.2,17.4,78,2011,68.7,62.4,2008.3,2009,17.3,93
1868.8,36.6,91,2047,85.6,78.8,2035.8,2036.5,12.6,93
2278.4,41.8,96,2087,83.4,88.6,2078.8,2079.8,7.3,93
1945.6,24,88,2119,84.5,77.3,2116.8,2117.5,-11.3,93
2675.2,80.3,98,2472,99,91.8,2382.5,2392,6.3,93
4006.4,100,98,3291,115.4,94.1,3078.5,3080.5,1.6,93
4172.8,100,98,3428,122.6,94.5,3215.5,3217.5,-19.2,93
4352,100,98,3555,124.7,94.5,3350.8,3351.8,-17,93
4480,100,98,3615,125,94.5,3482,3483.3,-13.4,93
5068.8,100,98,3706,116.6,93.7,3624.8,3626.5,-13,93
4736,91.1,98,3442,102.4,86.3,3343.8,3338,-11.6,93
3174.4,54,79,2791,5,72.2,2722.5,2723,-10.6,93
563.2,8,26,2274,2.1,18.8,2350.8,2345,-12,93
691.2,9.4,38,2057,0.3,27.5,2063.3,2063.5,-12.7,93
691.2,8.9,37,2032,12.4,26.7,2031.8,2032,-9.8,93
550.4,8.5,32,1942,27.9,23.1,1999.8,2000,-9.4,93
1702.4,21.6,80,2053,88.7,67.5,1985.8,1986.3,-7.3,93
2099.2,72.8,98,2005,90.6,90.2,1996.3,1996.8,-8,93
2176,75.1,98,2011,88.1,92.5,2009.8,2010.3,-9.1,93
1292.8,12.2,63,2009,-9.1,49.8,2010.8,2011.3,-9.2,93
1075.2,15,60,2075,68.4,45.9,1995.3,1995.8,-8,93
1536,17.9,79,2043,69.2,64.7,1991,1991.5,-7.7,93
857.6,9.9,45,1985,44.4,34.1,1978.3,1978.5,-10.6,93
1484.8,18.8,78,2026,80.7,63.1,1967.3,1967.8,-9,93
1804.8,23,89,1986,84.7,76.5,1976.3,1976.8,-9.6,93
1753.6,20.7,86,1987,62.2,73.3,1986.5,1987,-8.4,93
678.4,6.6,37,1919,-27.3,26.7,1975.3,1975.5,-5.7,93
768,11.8,43,1947,56.4,32.5,1953.3,1953.8,3.7,93
1561.6,19.7,82,1974,79,68.2,1949.8,1950.5,0.8,93
1766.4,22.1,88,1962,81.1,75.7,1960.8,1961.5,0.8,94
844.8,7.1,40,1918,-25.9,31.4,1953,1953.3,0.9,94
140.8,7.1,25,1806,-36.8,16.9,1918.3,1918.3,1.2,94
76.8,8,35,1866,9.1,23.9,1877,1877.3,1.6,94
627.2,8.5,35,1846,10,25.9,1845.5,1845.8,0.9,94
704,10.4,41,1824,37.5,30.6,1823,1823.3,0,94
1292.8,15.5,71,1816,66,59.6,1815,1815.5,0.5,94
1292.8,14.1,71,1816,8.3,61.6,1816.8,1817.3,0.8,94
1011.2,14.6,59,1901,76.2,46.7,1809.5,1810,2.6,94
1945.6,54.5,95,1960,89.8,85.5,1817.3,1817.8,0.8,94
2073.6,100,99,1895,89.9,93.3,1837.5,1838.3,0.1,94
2086.4,100,99,1863,90.5,93.3,1857,1857.5,0.2,94
2086.4,100,99,1879,91.4,93.3,1876.8,1877.5,3,94
2099.2,100,99,1897,89.5,93.3,1895.3,1896,1.9,94
2163.2,98.6,99,1915,92.5,93.3,1912.8,1913.5,0.2,94
2150.4,92.5,99,1934,92.5,93.7,1931,1931.8,0.5,94
2201.6,100,99,2024,93.6,92.9,1998.5,2003.5,0.8,94
3430.4,100,98,2768,100.3,93.3,2535.3,2537.3,1.4,94
3532.8,75.6,97,2809,91.7,91.8,2585.8,2586.8,0,94
1830.4,15,59,2659,13.9,48.2,2612,2612.5,7,94
1779.2,19.7,69,2683,75.8,57.6,2614,2614.8,11.4,94
2572.8,23.5,77,3224,67.5,63.5,3121.3,3132,9.1,94
2867.2,23,70,3768,63.4,54.5,3663.3,3664.3,13.8,94
2905.6,22.6,62,4246,39.6,50.2,4159.3,4171.3,14.2,94
2892.8,21.1,48,4898,35,40.4,4838.5,4839.3,13.4,94
2803.2,21.1,47,4901,34.2,38.8,4848.3,4848.8,13.6,94
2675.2,20.2,45,4896,25.3,37.3,4848.5,4849,-6.6,95
2368,18.8,41,4869,23.9,33.3,4834.5,4834.8,-17.8,95
2598.4,22.6,50,4859,111.2,41.6,4814.8,4815.5,-14.7,95
6873.6,86.4,96,5067,148.1,95.3,4933.5,4936,-18.6,95
8384,100,97,5344,146.2,96.1,5194.3,5197.5,-24.6,95
7974.4,96.7,96,5581,127.7,95.7,5445,5447.8,-22.1,96
2380.8,13.6,24,5449,-22.9,20.8,5463.3,5462.3,-17,96
102.4,17.9,34,5226,-42.9,27.5,5304.3,5303.3,-18.2,96
0,17.4,36,5053,-41.5,28.6,5134.3,5132.8,-2.3,96
0,16.9,38,4590,-38.9,28.6,4665,4653.8,9.1,97
0,14.1,45,3420,-36.7,31.4,3569.5,3562,9.5,97
128,10.8,44,2212,1.1,33.3,2373.5,2363,9.7,97
870.4,10.4,44,1952,2.2,32.9,1946.8,1946.8,8,97
1088,13.2,54,1925,73,42.7,1914.3,1914.5,5.9,97
1600,14.6,72,1906,11.4,60.4,1902.8,1903.3,2.3,96
435.2,5.2,26,1762,-35.9,18,1867.5,1867.5,0.8,96
0,7.5,29,1765,-36.6,21.2,1814,1814,2,96
371.2,8.5,37,1761,20.8,26.3,1763.3,1763.5,0.5,96
1139.2,14.6,64,1771,75.9,52.2,1737.5,1738,1.3,96
1638.4,17.9,83,1745,46.3,73.3,1736.3,1736.8,0.9,96
768,9.4,48,1721,25.2,36.5,1721,1721.3,0.8,96
1062.4,14.6,69,1706,62.3,56.5,1704.5,1704.8,1.1,96
934.4,9.4,56,1683,-13.7,45.5,1688.8,1689,1.3,96
435.2,7.5,33,1640,-6.8,23.1,1657.3,1657.3,1.2,96
486.4,8,36,1592,18.3,26.7,1621.5,1622,0.9,95
870.4,12.7,60,1680,58.7,47.1,1595,1595.5,1.2,95
1216,16,80,1621,67.6,67.5,1588.3,1588.8,1.2,95
1305.6,19.3,86,1592,82.8,74.9,1585.8,1586.3,1.2,95
1638.4,26.3,94,1609,81.2,87.1,1594,1594.5,1.2,95
1472,20.7,90,1605,75.3,80.4,1603.5,1604,1.2,95
1331.2,17.9,85,1608,72.5,74.9,1607.5,1608,1.6,95
960,11.3,64,1604,28.6,52.2,1604,1604.5,1.4,95
1254.4,22.6,85,1602,86.8,72.5,1597.3,1598,0.3,95
1676.8,70.4,98,1609,83.2,93.3,1607,1607.5,-0.5,95
1408,18.8,84,1616,64.3,74.5,1615.5,1616.3,1.6,95
1395.2,22.1,89,1623,89.1,78,1619.5,1620,1.9,95
2291.2,85,98,2166,94.2,91.8,1939.8,1945,1.6,95
2854.4,100,99,2405,95.8,93.3,2125.8,2126.5,1.2,95
2713.6,100,99,2320,90.3,91,2161.3,2162.3,-0.5,95
2624,100,99,2272,90.2,90.2,2194.8,2195.5,0.1,95
2624,100,99,2261,91.7,90.2,2223.5,2224.3,0.8,95
2688,100,99,2260,94,92.2,2251.5,2252.3,-0.8,95
3545.6,100,98,2997,118.4,94.5,2833.3,2843,7.3,95
4006.4,99.6,98,3409,96.5,88.2,3213.3,3213.3,-2.7,95
3340.8,62,96,2737,91.3,90.6,2506.5,2499,7.7,95
1830.4,17.9,66,2413,19.5,54.5,2268.8,2264.5,12,95
1689.6,31.5,85,2038,88.5,71.4,1796.3,1798,9.2,96
2918.4,96.7,98,2507,98.9,94.1,2269,2272.3,10.3,96
3046.4,100,98,2549,101.2,94.1,2291.8,2292.3,11.2,96
3110.4,90.6,98,2562,89.2,93.3,2300.8,2301.3,10.6,96
2163.2,19.7,77,2495,47.9,65.9,2301.5,2302,10.9,96
1510.4,16.9,67,2408,74.8,51.8,2274.3,2274.5,9.5,96
1331.2,14.1,61,2349,58.5,44.3,2239,2239,10.2,96
1920,20.2,78,2410,72,63.9,2209.5,2210,1.6,96
1894.4,19.7,77,2391,81.4,63.1,2194,2194.3,-12,96
2419.2,40.9,92,2423,96.5,82.7,2185.8,2186.3,-12.4,96
2892.8,98.6,98,2451,98,94.5,2187.8,2188.5,-9.8,96
2931.2,100,98,2463,98.1,94.9,2196.8,2197.3,-9.9,96
2931.2,100,98,2465,96.3,94.9,2205.8,2206.3,-11.1,96
2931.2,100,98,2474,98.1,94.9,2214.8,2215.5,-12,96
2995.2,83.6,98,2488,99.9,94.5,2225,2225.5,-7,96
2982.4,87.3,98,2488,101.7,94.5,2236.3,2237,-3,96
3161.6,100,98,2503,101.9,94.5,2248.5,2249,0.2,96
3212.8,100,98,2519,104.6,94.9,2258.3,2258.8,0.5,96
3264,100,98,2547,104.9,96.1,2271.5,2272,1,96
3212.8,75.6,96,2540,93.7,92.5,2283.8,2284.3,1.1,96
1676.8,14.6,61,2392,11.5,49,2271.3,2271.8,0.9,96
601.6,8.9,34,2181,29.9,23.5,2208.3,2208.8,0.8,96
1881.6,23,80,2373,92.7,67.5,2171,2171.5,0.9,96
2726.4,60.1,96,2404,103.6,90.2,2166,2166.5,-0.8,96
3097.6,100,98,2444,103.8,94.9,2175.5,2176,0.5,96
3200,100,98,2474,105.9,96.1,2193,2193.8,1.1,96
3212.8,100,98,2496,106.4,96.1,2213.3,2214,0.9,96
3404.8,100,98,2695,111.3,95.7,2449.5,2459,0.1,96
4889.6,100,98,3411,131.8,94.5,3172,3173.3,-0.5,97
5004.8,100,98,3461,127.3,94.9,3289.5,3291.3,0,97
4518.4,100,98,3472,123.7,94.9,3396.8,3398.3,1.3,97
2688,33.4,62,3419,-13.9,51.8,3411,3408.5,0.9,97
576,8.9,27,2555,-0.6,20.4,2605,2598,0.9,97
691.2,9.4,33,2335,-1.5,24.3,2353.3,2353,0.9,97
780.8,11.3,39,2307,50.1,29.8,2290.3,2290.3,3,97
1113.6,11.3,51,2308,5.1,37.3,2239.8,2239.8,1.5,97
1036.8,14.1,55,2203,75.6,42.4,2190.5,2190.8,0.2,97
1792,23.5,84,2174,91.8,72.9,2171,2171.5,0.1,97
2368,61.5,97,2180,89.3,87.8,2178.5,2179,0.5,97
1945.6,20.7,82,2187,61,71.8,2187,2187.5,1.8,97
1689.6,21.1,81,2182,90.9,69,2181,2181.3,1.4,97
2342.4,74.2,97,2190,90.8,87.8,2188.5,2189,0.9,97
2547.2,100,98,2210,91,89.4,2209,2209.5,-0.8,97
2560,100,98,2231,91.5,89.8,2230.5,2231.3,1.1,97
2585.6,100,98,2252,92,90.2,2251.3,2252,0.9,97
2636.8,100,98,2277,92.4,90.6,2275.8,2276.5,-0.5,97
2636.8,88.3,98,2301,95.6,90.6,2300.5,2301,1.2,97
2700.8,100,98,2325,96.8,91.4,2323.8,2324.8,7,97
2764.8,100,98,2356,104.5,93.7,2354.5,2355.3,5.8,97
